Category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Other Fuels,1.42,1.22,1.23,1.38,1.56,1.64,1.24,1.36,1.8,1.98,2.25,2.28,2.16,2.03
Commercial Cogeneration Heat Output,1.09,1.05,1.06,0.26,0.62,0.4,0.42,0.49,0.37,0.92,0.92,0.78,0.76,0.72
Other Commercial and Residential,1.24,1.26,1.27,1.29,1.3,1.31,1.32,1.33,1.34,1.35,1.36,1.37,1.38,1.39
Recycling and Waste,7.45,7.62,7.59,7.73,7.74,7.93,8.03,8.1,8.27,8.39,8.46,8.75,8.77,8.87
Landfills [3],7.21,7.36,7.3,7.42,7.4,7.58,7.65,7.7,7.84,7.94,7.99,8.25,8.25,8.32
Composting,0.24,0.26,0.29,0.31,0.33,0.36,0.38,0.4,0.43,0.45,0.47,0.5,0.52,0.54
High GWP,7.24,7.55,8.06,8.79,9.57,10.34,10.93,11.6,12.61,13.83,15.49,16.78,17.77,18.5
Ozone Depleting Substance (ODS) Substitutes,6.35,6.82,7.37,8.1,8.95,9.75,10.33,11.04,12.05,13.38,15.01,16.11,17.16,18.02
Electricity Grid SF6 Losses [4],0.33,0.32,0.3,0.29,0.3,0.29,0.28,0.26,0.27,0.26,0.24,0.24,0.23,0.19
Semiconductor Manufacturing [3],0.57,0.41,0.38,0.39,0.32,0.3,0.32,0.3,0.3,0.19,0.24,0.43,0.37,0.3
Agriculture,32.1,32.57,34.07,34.63,34.34,35.08,36.3,36.04,36.48,34.86,34.5,35.68,36.43,36.21
Livestock,19.66,20.44,21.06,21.63,21.06,21.81,22.22,23.73,24.09,23.88,23.35,23.38,23.92,23.92
Enteric Fermentation (Digestive Process),10.26,10.45,10.74,10.89,10.78,11.14,11.24,11.93,11.89,11.71,11.51,11.49,11.78,11.78
Manure Management,9.4,10,10.32,10.75,10.28,10.67,10.98,11.8,12.2,12.17,11.84,11.89,12.14,12.14
Crop Growing & Harvesting,8.63,8.31,8.63,8.63,8.76,8.65,8.76,8.51,8.48,8.33,8.35,8.65,8.71,8.46
Fertilizers,6.59,6.55,6.66,6.7,6.58,6.63,6.57,6.5,6.55,6.33,6.36,6.59,6.63,6.45
Soil Preparation and Disturbances,1.96,1.69,1.91,1.86,2.11,1.95,2.12,1.94,1.86,1.92,1.91,1.98,1.99,1.93
Crop Residue Burning,0.08,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08
General Fuel Use,3.81,3.82,4.38,4.37,4.52,4.62,5.32,3.79,3.91,2.65,2.81,3.66,3.8,3.83
Diesel,2.52,2.69,3.04,3.1,3.17,3.4,3.86,2.68,2.99,1.78,1.98,2.37,2.47,2.51
Natural Gas,0.98,0.75,0.94,0.85,0.82,0.7,0.88,0.79,0.75,0.69,0.65,0.66,0.7,0.69
Gasoline,0.31,0.38,0.41,0.41,0.52,0.52,0.57,0.32,0.17,0.17,0.17,0.63,0.62,0.63
Other Fuels,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0
